竹笋,http://baike.baidu.com/item/%E7%AB%B9%E7%AC%8B/2104241?sefr=cr
腌菜,http://baike.baidu.com/item/%E8%85%8C%E8%8F%9C?sefr=cr
葱,http://baike.baidu.com/item/%E8%91%B1/577741?sefr=cr
辣椒,http://baike.baidu.com/item/%E8%BE%A3%E6%A4%92/48496?sefr=cr
大白菜,http://baike.baidu.com/item/%E5%A4%A7%E7%99%BD%E8%8F%9C?sefr=cr
平菇,http://baike.baidu.com/item/%E5%B9%B3%E8%8F%87?sefr=cr
草菇,http://baike.baidu.com/item/%E8%8D%89%E8%8F%87?sefr=cr
金针菇,http://baike.baidu.com/item/%E9%87%91%E9%92%88%E8%8F%87?sefr=cr
木耳,http://baike.baidu.com/item/%E6%9C%A8%E8%80%B3/712258?sefr=cr
甘薯/地瓜,http://baike.baidu.com/item/%E7%9cc4%98%E8%96%AF?sefr=cr
土豆/马铃薯,http://baike.baidu.com/item/%E5%9C%9F%E8%B1%86%E7%BD%91/10880550?sefr=cr&fromtitle=%E5%9C%9F%E8%B1%86&fromid=6368430
冬瓜,http://baike.baidu.com/item/%E5%86%AC%E7%93%9C?sefr=cr
小白菜,http://baike.baidu.com/item/%E5%B0%8F%E7%99%BD%E8%8F%9C/66994?sefr=cr
生菜,http://baike.baidu.com/item/%E7%94%9F%E8%8F%9C/40578?sefr=cr
包菜,http://baike.baidu.com/item/%E5%8D%B7%E5%BF%83%E8%8F%9C?fromtitle=%E5%8C%85%E8%8F%9C&fromid=576521&type=syn&sefr=cr
韭菜,http://baike.baidu.com/item/%E9%9F%AD%E8%8F%9C?sefr=cr
香菜,http://baike.baidu.com/item/%E9%A6%99%E8%8F%9C/421947?sefr=cr
菜苔,http://baike.baidu.com/item/%E8%8F%9C%E8%8B%94/1828125?sefr=enterbtn
油麦菜,http://baike.baidu.com/item/%E6%B2%B9%E9%BA%A6%E8%8F%9C?sefr=cr
韭黄,http://baike.baidu.com/item/%E9%9F%AD%E9%BB%84?sefr=cr
莴笋,http://baike.baidu.com/item/%E8%8E%B4%E7%AC%8B?sefr=cr
芹菜,http://baike.baidu.com/item/%E8%8A%B9%E8%8F%9C/75688?sefr=cr
花椰菜,http://baike.baidu.com/item/%E8%8A%B1%E6%A4%B0%E8%8F%9C?sefr=cr
黄花菜,http://baike.baidu.com/item/%E9%BB%84%E8%8A%B1%E8%8F%9C/860382?sefr=cr
西兰花,http://baike.baidu.com/item/%E8%A5%BF%E5%85%B0%E8%8A%B1?sefr=cr
萝卜,http://baike.baidu.com/item/%E8%90%9D%E5%8D%9C?sefr=cr
胡萝卜,http://baike.baidu.com/item/%E8%83%A1%E8%90%9D%E5%8D%9C?sefr=cr
南瓜,http://baike.baidu.com/item/%E5%8D%97%E7%93%9C/18337?sefr=cr
丝瓜,http://baike.baidu.com/item/%E4%B8%9D%E7%93%9C/573802?sefr=cr
黄瓜,http://baike.baidu.com/item/%E9%BB%84%E7%93%9C?sefr=cr
苦瓜,http://baike.baidu.com/item/%E8%8B%A6%E7%93%9C/67518?sefr=cr
西红柿/番茄,http://baike.baidu.com/item/%E7%95%AA%E8%8C%84/69104?fromtitle=%E8%A5%BF%E7%BA%A2%E6%9F%BF&fromid=216015&type=syn&sefr=cr
秋葵,http://baike.baidu.com/item/%E7%A7%8B%E8%91%B5/947422?sefr=cr
莲藕,http://baike.baidu.com/item/%E8%8E%B2%E8%97%95?sefr=cr
红薯,http://baike.baidu.com/item/%E7%BA%A2%E8%96%AF/1096504?sefr=cr
紫薯,http://baike.baidu.com/item/%E7%B4%AB%E8%96%AF?sefr=cr
芋头,http://baike.baidu.com/item/%E8%8A%8B%E5%A4%B4/5902?sefr=cr
淮山,http://baike.baidu.com/item/%E6%B7%AE%E5%B1%B1?sefr=cr
葛根,http://baike.baidu.com/item/%E8%91%9B%E6%A0%B9?sefr=cr
魔芋,http://baike.baidu.com/item/%E9%AD%94%E8%8A%8B?sefr=cr
香菇,http://baike.baidu.com/item/%E7%95%AA%E8%8C%84/69104?sefr=cr
黑木耳,http://baike.baidu.com/item/%E9%BB%91%E6%9C%A8%E8%80%B3?sefr=cr
杏鲍菇,http://baike.baidu.com/item/%E6%9D%8F%E9%B2%8D%E8%8F%87?sefr=cr
茶树菇,http://baike.baidu.com/item/%E8%8C%B6%E6%A0%91%E8%8F%87?sefr=cr
竹荪,http://baike.baidu.com/item/%E7%AB%B9%E8%8D%AA/570779?sefr=cr
蘑菇,http://baike.baidu.com/item/%E8%98%91%E8%8F%87/6400?sefr=cr
小葱,http://baike.baidu.com/item/%E5%B0%8F%E8%91%B1?sefr=cr
蒜薹/蒜苔,http://baike.baidu.com/item/%E8%92%9C%E8%96%B9?sefr=cr
洋葱,http://baike.baidu.com/item/%E6%B4%8B%E8%91%B1/6409?sefr=cr
蒜苗,http://baike.baidu.com/item/%E8%92%9C%E8%8B%97?sefr=cr
春笋,http://baike.baidu.com/item/%E6%98%A5%E7%AC%8B/3631593?sefr=cr
慈姑,http://baike.baidu.com/item/%E6%85%88%E5%A7%91/1128865?sefr=cr&fromtitle=%E8%8C%A8%E8%8F%B0&fromid=321676
香椿芽,http://baike.baidu.com/item/%E9%A6%99%E6%A4%BF%E8%8A%BD?sefr=cr
玉米,http://baike.baidu.com/item/%E7%8E%89%E7%B1%B3/18401?sefr=cr
空心菜,http://baike.baidu.com/item/%E7%A9%BA%E5%BF%83%E8%8F%9C/2480?sefr=cr
西葫芦,http://baike.baidu.com/item/%E8%A5%BF%E8%91%AB%E8%8A%A6/647786?sefr=cr
猴头菇,http://baike.baidu.com/item/%E7%8C%B4%E5%A4%B4%E8%8F%87?sefr=cr
牛肝菌,http://baike.baidu.com/item/%E7%89%9B%E8%82%9D%E8%8F%8C/418309?sefr=cr
姬松茸,http://baike.baidu.com/item/%E5%A7%AC%E6%9D%BE%E8%8C%B8?sefr=cr
花椒,http://baike.baidu.com/item/%E8%8A%B1%E6%A4%92/405937?sefr=cr
芦笋,http://baike.baidu.com/item/%E8%8A%A6%E7%AC%8B/698265?sefr=cr
